link,title,date,news_text
https://www.moneyworks4me.com/company/news/index/id/501694,Reliance Industries’ step down arm inks agreement with Balenciaga,"05 Aug, 2022","Reliance Industries' step down arm -- Reliance Brands (RBL) has entered into a long term franchise agreement with Balenciaga to introduce the luxury brand in the Indian market. RBL will be Balenciaga's sole partner to launch the brand in the India.Founded by Spanish-born Cristóbal Balenciaga in 1917 and established in Paris in 1937, the original house of Balenciaga defined modern couture with its many innovations to form and technique.RBL is the subsidiary of Reliance Retail Ventures, the retail arm of Reliance Industries. Reliance Industries is India’s largest private sector company. The company’s activities span hydrocarbon exploration and production, petroleum refining and marketing, petrochemicals, retail and 4G digital services."
https://www.moneyworks4me.com/company/news/index/id/501265,Reliance Industries secures 104th position in Fortune's Global 500 list,"04 Aug, 2022","Reliance Industries (RIL) has jumped 51 places to secure 104th position in the latest Global 500 ranking of top 500 companies published by Fortune for the year 2022. In the year 2021, Reliance Industries was placed at 155th position on Fortune's Global 500 list.RIL maintains its position as India's highest-ranked private sector company. In the latest Fortune Global 500 list, there are nine companies from India. Five of them are from the public sector, and four are from the private sector.Reliance Industries is India’s largest private sector company. The company’s activities span hydrocarbon exploration and production, petroleum refining and marketing, petrochemicals, retail and 4G digital services."
https://www.moneyworks4me.com/company/news/index/id/500842,Reliance Industries gains as its arm gets CCI nod for stake buy in SCIPL,"03 Aug, 2022","Reliance Industries is currently trading at Rs. 2588.95, up by 5.85 points or 0.23% from its previous closing of Rs. 2583.10 on the BSE.The scrip opened at Rs. 2597.45 and has touched a high and low of Rs. 2608.55 and Rs. 2567.55 respectively. So far 117041 shares were traded on the counter.The BSE group 'A' stock of face value Rs. 10 has touched a 52 week high of Rs. 2855.00 on 29-Apr-2022 and a 52 week low of Rs. 2064.15 on 03-Aug-2021.Last one week high and low of the scrip stood at Rs. 2606.50 and Rs. 2421.10 respectively. The current market cap of the company is Rs. 1750937.76 crore.The promoters holding in the company stood at 50.62%, while Institutions and Non-Institutions held 38.74% and 10.64% respectively.The Competition Commission of India (CCI) has approved acquisition of 50.1% of the equity share capital of Sanmina-SCI India (SCIPL) by Reliance Strategic Business Ventures (RSBVL), a subsidiary of Reliance Industries. The proposed combination envisages acquisition of 50.1% of the equity share capital of SCIPL by RSBVL.RSBVL’s principal activities are trading of goods, holding strategic investment interests in businesses and providing business support services.Reliance Industries is India’s largest private sector company. The company’s activities span hydrocarbon exploration and production, petroleum refining and marketing, petrochemicals, retail and 4G digital services."
https://www.moneyworks4me.com/company/news/index/id/500806,CCI approves stake buy in SCIPL by Reliance Industries' arm,"03 Aug, 2022","The Competition Commission of India (CCI) has approved acquisition of 50.1% of the equity share capital of Sanmina-SCI India (SCIPL) by Reliance Strategic Business Ventures (RSBVL), a subsidiary of Reliance Industries. The proposed combination envisages acquisition of 50.1% of the equity share capital of SCIPL by RSBVL.RSBVL’s principal activities are trading of goods, holding strategic investment interests in businesses and providing business support services.Reliance Industries is India’s largest private sector company. The company’s activities span hydrocarbon exploration and production, petroleum refining and marketing, petrochemicals, retail and 4G digital services."
https://www.moneyworks4me.com/company/news/index/id/500463,"Reliance Industries rises as its arm acquires spectrum for Rs 88,078 crore in 5G auctions","02 Aug, 2022","Reliance Industries is currently trading at Rs. 2583.05, up by 7.95 points or 0.31% from its previous closing of Rs. 2575.10 on the BSE.The scrip opened at Rs. 2572.80 and has touched a high and low of Rs. 2606.50 and Rs. 2560.55 respectively. So far 140257 shares were traded on the counter.The BSE group 'A' stock of face value Rs. 10 has touched a 52 week high of Rs. 2855.00 on 29-Apr-2022 and a 52 week low of Rs. 2041.00 on 02-Aug-2021.Last one week high and low of the scrip stood at Rs. 2606.50 and Rs. 2402.00 respectively. The current market cap of the company is Rs. 1739672.38 crore.The promoters holding in the company stood at 50.62%, while Institutions and Non-Institutions held 38.74% and 10.64% respectively.Reliance Industries’ (RIL) telecom arm -- Reliance Jio Infocomm (Jio) has acquired spectrum in the 700MHz, 800MHz, 1800MHz, 3300MHz and 26GHz bands in the auctions conducted by the Department of Telecommunications (DoT), Government of India.Total cost of acquiring the right to use the technology agnostic spectrum for a period of 20 years is Rs 88,078 crore. As per terms of the spectrum auction, the spectrum payments have to be made over 20 equated annual instalments, with interest computed at 7.2% per annum.Jio has acquired a unique combination of low-band, mid-band and mmWave spectrum, which coupled with deep fibre network and indigenous technology platforms, will enable the company to provide 5G Everywhere and 5G For All (consumers and enterprises).The acquisition of the right to use this spectrum will enable Jio to build the World’s most advanced 5G network and further strengthen India’s global leadership in wireless broadband connectivity. Jio’s 5G network will enable the next generation of digital solutions that will accelerate India’s AI-driven march towards becoming over $5 trillion economy.Reliance Industries is India’s largest private sector company. The company’s activities span hydrocarbon exploration and production, petroleum refining and marketing, petrochemicals, retail and 4G digital services."
https://www.moneyworks4me.com/company/news/index/id/500446,"Reliance Industries’ arm acquires spectrum for Rs 88,078 crore in 5G auctions","02 Aug, 2022","Reliance Industries’ (RIL) telecom arm -- Reliance Jio Infocomm (Jio) has acquired spectrum in the 700MHz, 800MHz, 1800MHz, 3300MHz and 26GHz bands in the auctions conducted by the Department of Telecommunications (DoT), Government of India.Total cost of acquiring the right to use the technology agnostic spectrum for a period of 20 years is Rs 88,078 crore. As per terms of the spectrum auction, the spectrum payments have to be made over 20 equated annual instalments, with interest computed at 7.2% per annum.Jio has acquired a unique combination of low-band, mid-band and mmWave spectrum, which coupled with deep fibre network and indigenous technology platforms, will enable the company to provide 5G Everywhere and 5G For All (consumers and enterprises).The acquisition of the right to use this spectrum will enable Jio to build the World’s most advanced 5G network and further strengthen India’s global leadership in wireless broadband connectivity. Jio’s 5G network will enable the next generation of digital solutions that will accelerate India’s AI-driven march towards becoming over $5 trillion economy.Reliance Industries is India’s largest private sector company. The company’s activities span hydrocarbon exploration and production, petroleum refining and marketing, petrochemicals, retail and 4G digital services."
https://www.moneyworks4me.com/company/news/index/id/497427,Reliance Industries informs about loss of share certificates,"23 Jul, 2022","Reliance Industries has informed that it enclosed the details of 'Letter(s) of Confirmation' issued by the Company to its shareholders, in lieu of share certificate(s) reported as lost by them.The above information is a part of company’s filings submitted to BSE."
https://www.moneyworks4me.com/company/news/index/id/497421,Reliance Industries informs about presentation,"23 Jul, 2022","Reliance Industries has informed that the presentation on the Unaudited Financial Results (Consolidated and Standalone) for the quarter ended June 30, 2022, made to the analysts is enclosed.The above information is a part of company’s filings submitted to BSE."
https://www.moneyworks4me.com/company/news/index/id/497378,Reliance Industries informs about earnings call transcript,"23 Jul, 2022","In continuation of letter dated July 15, 2022 and pursuant to Regulation 30(6) of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, Reliance Industries has informed about the audio/ video recording and transcript of the presentation made on July 22, 2022, on Unaudited Financial Results (Consolidated and Standalone) of the Company for the quarter ended June 30, 2022, is available on the Company's website at https://www.ril.com/InvestorRelations/FinancialReporting.aspxThe above information is a part of company’s filings submitted to BSE."
https://www.moneyworks4me.com/company/news/index/id/497375,Reliance Industries informs about audio recording and transcript of the presentation,"23 Jul, 2022","In continuation of its letter dated July 15, 2022 and pursuant to Regulation 30(6) of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, Reliance Industries has informed that the audio / video recording and transcript of the presentation made on July 22, 2022, on Unaudited Financial Results (Consolidated and Standalone) of the Company for the quarter ended June 30, 2022, is available on the Company’s website.The above information is a part of company’s filings submitted to BSE."
https://www.moneyworks4me.com/company/news/index/id/497346,Reliance Industries reports 41% rise in Q1 consolidated net profit,"23 Jul, 2022","Reliance Industries has reported results for first quarter ended June 30, 2022.The company has reported a rise of 75.64% in its net profit at Rs 15,096 crore for the quarter under review as compared to Rs 8,595 crore for the same quarter in the previous year. Total income of the company increased by 63.42% at Rs 153,874 crore for Q1FY23 as compared Rs 94,158 crore for the corresponding quarter previous year.On the consolidated basis, the company has reported a rise of 40.83% in its net profit at Rs 19,443 crore for the quarter under review as compared to Rs 13,806 crore for the same quarter in the previous year. Total income of the company increased by 51.66% at Rs 225,360 crore for Q1FY23 as compared to Rs 148,591 crore for the corresponding quarter previous year."
https://www.moneyworks4me.com/company/news/index/id/497669,Reliance Industries - Quaterly Results,"22 Jul, 2022","The turnover zoomed to Rs. 1513430.00 millions, up 67.10% for the June 2022 quarter as against Rs. 905700.00 millions during the year-ago period.Profit after tax for the quarter ended June 2022 reported a huge growth of 75.64% to Rs. 150960.00  millions from Rs. 85950.00 millions.The company reported a good operating profit of 245390.00 millions compared to 150480.00 millions of corresponding previous quarter.  (Rs. in Million)       Quarter ended Year to Date Year ended     202206 202106 % Var 202206 202106 % Var 202203 202103 % Var  	Sales		1513430.00		905700.00		67.10		1513430.00		905700.00		67.10		4453750.00		2650690.00		68.02	 	Other Income		25310.00		35880.00		-29.46		25310.00		35880.00		-29.46		138720.00		148180.00		-6.38	 	PBIDT		245390.00		150480.00		63.07		245390.00		150480.00		63.07		661850.00		483180.00		36.98	 	Interest		26160.00		23510.00		11.27		26160.00		23510.00		11.27		91230.00		162110.00		-43.72	 	PBDT		219230.00		126970.00		72.66		219230.00		126970.00		72.66		570620.00		364110.00		56.72	 	Depreciation		22510.00		25090.00		-10.28		22510.00		25090.00		-10.28		102760.00		91990.00		11.71	 	PBT		196720.00		101880.00		93.09		196720.00		101880.00		93.09		467860.00		272120.00		71.93	 	TAX		45760.00		15930.00		187.26		45760.00		15930.00		187.26		77020.00		-47320.00		-262.76	 	Deferred Tax		11230.00		-1990.00		-664.32		11230.00		-1990.00		-664.32		69150.00		-47320.00		-246.13	 	PAT		150960.00		85950.00		75.64		150960.00		85950.00		75.64		390840.00		319440.00		22.35	 	Equity		67650.00		65500.00		3.28		67650.00		65500.00		3.28		67650.00		64450.00		4.97	 	PBIDTM(%)		15.56		15.87		-1.98		16.21		16.61		-2.41		14.19		17.32		-18.08"
https://www.moneyworks4me.com/company/news/index/id/497590,Reliance Industries - Quaterly Results,"22 Jul, 2022","The turnover zoomed to Rs. 1513430.00 millions, up 67.10% for the June 2022 quarter as against Rs. 905700.00 millions during the year-ago period.Profit after tax for the quarter ended June 2022 reported a huge growth of 75.64% to Rs. 150960.00  millions from Rs. 85950.00 millions.The company reported a good operating profit of 245390.00 millions compared to 150480.00 millions of corresponding previous quarter.  (Rs. in Million)       Quarter ended Year to Date Year ended     202206 202106 % Var 202206 202106 % Var 202203 202103 % Var  	Sales		1513430.00		905700.00		67.10		1513430.00		905700.00		67.10		4453750.00		2650690.00		68.02	 	Other Income		25310.00		35880.00		-29.46		25310.00		35880.00		-29.46		138720.00		148180.00		-6.38	 	PBIDT		245390.00		150480.00		63.07		245390.00		150480.00		63.07		661850.00		483180.00		36.98	 	Interest		26160.00		23510.00		11.27		26160.00		23510.00		11.27		91230.00		162110.00		-43.72	 	PBDT		219230.00		126970.00		72.66		219230.00		126970.00		72.66		570620.00		364110.00		56.72	 	Depreciation		22510.00		25090.00		-10.28		22510.00		25090.00		-10.28		102760.00		91990.00		11.71	 	PBT		196720.00		101880.00		93.09		196720.00		101880.00		93.09		467860.00		272120.00		71.93	 	TAX		45760.00		15930.00		187.26		45760.00		15930.00		187.26		77020.00		-47320.00		-262.76	 	Deferred Tax		11230.00		-1990.00		-664.32		11230.00		-1990.00		-664.32		69150.00		-47320.00		-246.13	 	PAT		150960.00		85950.00		75.64		150960.00		85950.00		75.64		390840.00		319440.00		22.35	 	Equity		67650.00		65500.00		3.28		67650.00		65500.00		3.28		67650.00		64450.00		4.97	 	PBIDTM(%)		15.56		15.87		-1.98		16.21		16.61		-2.41		14.19		17.32		-18.08"
